url,strategy,symbol,performance,extractor
https://binance.zendesk.com/hc/en-us/articles/360032514812-Binance-Lists-Second-BEP2-Community-Listing-Project-TomoChain-TOMO-,highest,BNBUSDT,0.5065972285849303,onlyBnb
https://binance.zendesk.com/hc/en-us/articles/360042510551-Binance-Has-Distributed-the-Second-Batch-of-Staking-Rewards-for-March-2020,highest,ONEUSDT,0.23290043290043402,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042510551-Binance-Has-Distributed-the-Second-Batch-of-Staking-Rewards-for-March-2020,highest,THETAUSDT,0.43859981078523985,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042510551-Binance-Has-Distributed-the-Second-Batch-of-Staking-Rewards-for-March-2020,highest,LSKUSDT,0.16570108747953075,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042366891-Binance-Savings-Adds-IOST-and-XMR-to-Flexible-Deposits,highest,XMRUSDT,-0.0049991136323357,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042362191-Binance-Will-List-Rupiah-Token-IDRT-,highest,BTCUSDT,4.337170442738966,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042362191-Binance-Will-List-Rupiah-Token-IDRT-,highest,BUSDUSDT,-0.1799779757733529,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360041795572-Introducing-the-Cartesi-CTSI-Token-Sale-on-Binance-Launchpad,highest,BNBUSDT,6.273632581267119,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042510551-Binance-Has-Distributed-the-Second-Batch-of-Staking-Rewards-for-March-2020,highest,TROYUSDT,-0.2,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042358331-Play-Cartesi-s-Creepts-Game-to-Enter-a-50-000-CTSI-Token-Giveaway,highest,CTSIUSDT,,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042165771-Binance-Has-Distributed-First-Batch-of-March-Staking-Rewards,highest,VETUSDT,-0.17204361196534249,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042165771-Binance-Has-Distributed-First-Batch-of-March-Staking-Rewards,highest,ONTUSDT,-0.029683698296842233,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360042165771-Binance-Has-Distributed-First-Batch-of-March-Staking-Rewards,highest,TRXUSDT,-0.12031872509960485,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360041826351-Notice-of-Removal-of-Trading-Pairs-2020-04-03,highest,DREPUSDT,-0.2,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360041826351-Notice-of-Removal-of-Trading-Pairs-2020-04-03,highest,KEYUSDT,-0.2,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360041447032-Binance-Has-Completed-Proton-XPR-Distribution-to-MTL-Holders,highest,MTLUSDT,5.676559422193031,relatedAgainstUsdt
https://binance.zendesk.com/hc/en-us/articles/360041694711-Binance-Lists-Binance-KRW-Stable-Coin-BKRW-,highest,BNBUSDT,0.6342166374030014,relatedAgainstUsdt
